room_scene,source_positions,mic_idx,x,y,z,distance
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",0,2.881,1.351,1.7,"[0.23872997298202842, 1.8464530863252386, 1.5825454179896388]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",1,3.191,1.059,1.7,"[0.20576685836159328, 2.2595408825688463, 1.777022791075005]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",2,1.067,1.969,1.7,"[2.1051194740441694, 0.2994010688023675, 2.568581320495811]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",3,1.322,2.509,1.7,"[2.1650711304712367, 0.3094769781421551, 2.192757396521558]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",4,1.474,2.456,1.7,"[2.0143093109053534, 0.3361443142461284, 2.0507842402359158]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",5,3.62,3.008,1.7,"[1.9599862244413861, 2.5048506941532462, 0.23469128658729527]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",6,3.414,3.139,1.7,"[2.0335547693632448, 2.3590515043126974, 0.3385867687905123]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",7,3.121,3.003,1.7,"[1.8596214668582423, 2.0361878597025376, 0.41997380870716233]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",8,3.102,2.383,1.7,"[1.2398003871591587, 1.8641384068786309, 0.5796490317424849]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",9,3.544,1.17,1.7,"[0.5394905003797565, 2.521968477201886, 1.6407620180879372]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",10,0.925,1.728,1.7,"[2.15962056852587, 0.5782750210756125, 2.7875589679861483]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",11,0.853,2.271,1.7,"[2.4278550203832188, 0.39786052832619623, 2.6954409657790688]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",12,1.57,0.985,1.7,"[1.444115300105916, 1.2661563884449663, 2.6518674552096306]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",13,3.169,3.082,1.7,"[1.9419374346255338, 2.1118849400476343, 0.4238030202818286]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",14,2.507,3.051,1.7,"[1.9680497961179744, 1.5162733922350549, 1.0159970472398039]"
room00_scene02,"[[3.005, 1.147, 1.7], [1.246, 2.209, 1.7], [3.494, 2.81, 1.7]]",15,3.416,2.954,1.7,"[1.8531513699641486, 2.294324519330254, 0.1637681287674744]"
